utterance,intent
chào bạn,chao_hoi
chao ban,chao_hoi
cho mình hỏi chào bạn,chao_hoi
cho minh hoi chao ban,chao_hoi
bạn ơi chào bạn,chao_hoi
ban oi chao ban,chao_hoi
mình đang quan tâm chào bạn,chao_hoi
minh đang quan tam chao ban,chao_hoi
làm ơn chào bạn,chao_hoi
lam on chao ban,chao_hoi
xin chào,chao_hoi
xin chao,chao_hoi
cho mình hỏi xin chào,chao_hoi
cho minh hoi xin chao,chao_hoi
bạn ơi xin chào,chao_hoi
ban oi xin chao,chao_hoi
mình đang quan tâm xin chào,chao_hoi
minh đang quan tam xin chao,chao_hoi
làm ơn xin chào,chao_hoi
lam on xin chao,chao_hoi
hello,chao_hoi
cho mình hỏi hello,chao_hoi
cho minh hoi hello,chao_hoi
bạn ơi hello,chao_hoi
ban oi hello,chao_hoi
mình đang quan tâm hello,chao_hoi
minh đang quan tam hello,chao_hoi
làm ơn hello,chao_hoi
lam on hello,chao_hoi
hi bot,chao_hoi
cho mình hỏi hi bot,chao_hoi
cho minh hoi hi bot,chao_hoi
bạn ơi hi bot,chao_hoi
ban oi hi bot,chao_hoi
mình đang quan tâm hi bot,chao_hoi
minh đang quan tam hi bot,chao_hoi
làm ơn hi bot,chao_hoi
lam on hi bot,chao_hoi
mình chào bạn,chao_hoi
minh chao ban,chao_hoi
cho mình hỏi mình chào bạn,chao_hoi
cho minh hoi minh chao ban,chao_hoi
bạn ơi mình chào bạn,chao_hoi
ban oi minh chao ban,chao_hoi
mình đang quan tâm mình chào bạn,chao_hoi
minh đang quan tam minh chao ban,chao_hoi
làm ơn mình chào bạn,chao_hoi
lam on minh chao ban,chao_hoi
tạm biệt,tam_biet
tam biet,tam_biet
cho mình hỏi tạm biệt,tam_biet
cho minh hoi tam biet,tam_biet
bạn ơi tạm biệt,tam_biet
ban oi tam biet,tam_biet
mình đang quan tâm tạm biệt,tam_biet
minh đang quan tam tam biet,tam_biet
làm ơn tạm biệt,tam_biet
lam on tam biet,tam_biet
bye,tam_biet
cho mình hỏi bye,tam_biet
cho minh hoi bye,tam_biet
bạn ơi bye,tam_biet
ban oi bye,tam_biet
mình đang quan tâm bye,tam_biet
minh đang quan tam bye,tam_biet
làm ơn bye,tam_biet
lam on bye,tam_biet
mình xin phép kết thúc,tam_biet
minh xin phep ket thuc,tam_biet
cho mình hỏi mình xin phép kết thúc,tam_biet
cho minh hoi minh xin phep ket thuc,tam_biet
bạn ơi mình xin phép kết thúc,tam_biet
ban oi minh xin phep ket thuc,tam_biet
mình đang quan tâm mình xin phép kết thúc,tam_biet
minh đang quan tam minh xin phep ket thuc,tam_biet
làm ơn mình xin phép kết thúc,tam_biet
lam on minh xin phep ket thuc,tam_biet
cảm ơn bạn nhé,tam_biet
cam on ban nhe,tam_biet
cho mình hỏi cảm ơn bạn nhé,tam_biet
cho minh hoi cam on ban nhe,tam_biet
bạn ơi cảm ơn bạn nhé,tam_biet
ban oi cam on ban nhe,tam_biet
mình đang quan tâm cảm ơn bạn nhé,tam_biet
minh đang quan tam cam on ban nhe,tam_biet
làm ơn cảm ơn bạn nhé,tam_biet
lam on cam on ban nhe,tam_biet
giúp tôi,tro_giup
giup toi,tro_giup
cho mình hỏi giúp tôi,tro_giup
cho minh hoi giup toi,tro_giup
bạn ơi giúp tôi,tro_giup
ban oi giup toi,tro_giup
mình đang quan tâm giúp tôi,tro_giup
minh đang quan tam giup toi,tro_giup
làm ơn giúp tôi,tro_giup
lam on giup toi,tro_giup
tôi cần trợ giúp,tro_giup
toi can tro giup,tro_giup
cho mình hỏi tôi cần trợ giúp,tro_giup
cho minh hoi toi can tro giup,tro_giup
bạn ơi tôi cần trợ giúp,tro_giup
ban oi toi can tro giup,tro_giup
mình đang quan tâm tôi cần trợ giúp,tro_giup
minh đang quan tam toi can tro giup,tro_giup
làm ơn tôi cần trợ giúp,tro_giup
lam on toi can tro giup,tro_giup
bạn hỗ trợ mình với,tro_giup
ban ho tro minh voi,tro_giup
cho mình hỏi bạn hỗ trợ mình với,tro_giup
cho minh hoi ban ho tro minh voi,tro_giup
bạn ơi bạn hỗ trợ mình với,tro_giup
ban oi ban ho tro minh voi,tro_giup
mình đang quan tâm bạn hỗ trợ mình với,tro_giup
minh đang quan tam ban ho tro minh voi,tro_giup
